Name
France gov
Indonesia gov
Thailand gov
Spain gov
Ukraine gov
Ghana gov
Tanzania gov
JY_LeDrian
Amancio Ortega
Isabel Marant
Dominique Cren
Joël Robuchon
André Choulika
Laetitia Garriott de Cayeux
Judith Milgrom
Quentin Sannié
Vanessa Seward
Thierry Despont
Christian Ronaldo
Paul Scholes
Peter Lim
CryptoBrekkie
Alena Vranova
Coin Mastery
Cryptosomniac
David Hay
Francis Hunt
Frederick Munawa
J. Dax Hansen 
LedgerCast
Let's Talk Bitcoin
Michael Gu
Perianne Boring
Ravinder Deol
School of Crypto
Stefano Bernardi
Sunny Decree
The Blockchain Show
Rachel Voss
Juli Crypto
CRYPTOBURB
Crypto Explorer
Mia Crypto
TRex Crypto
Barby Crypto
IFC International Financial Corporation
BAD Banque africaine de développement
BDEAC Banque de développement des États de l'Afrique Centrale
Banque nordique d'investissement
Bank of China ltd
Kuwait Global Investment House
Saudi Arabia Kingdom Holding Company
United States Merrill
Australia AMP Capital
Australia BT
China China Asset Management
India Kotak Mutual Fund
Australia Perpetual Limited
Europe[edit]
Netherlands APG
Netherlands Robeco
Coin Base
FIRELLI
adamSoffer
SP_Influencers
