Category,Name,username
Countries,USA gov,USAGov
Countries,United States gov,VP
Countries,Japan gov,JapanGov
Countries,India gov,DataPortalIndia
Countries,United Kingdom gov,Catalonia_UK
Countries,Brazil gov,CulturaGovBr
Countries,Turkey gov,ekapi
Countries,Saudi Arabia gov,SECNAV75
Countries,Mexico gov,GovMLG
Countries,Philippines gov,ijm_ph
Countries,Germany gov,ScotGovGermany
Countries,Canada gov,GovCanHealth
Countries,Nigeria gov,NigeriaGov
Countries,Kenya gov,joelenku
Countries,Vietnam gov,GovRidge
Countries,Pakistan gov,MaritimeGovPK
Countries,Vénézuela gov,GoodWillResale
Countries,France,gouvernementFR
Countries,Ukraine,Ukraine
Countries,Argentina gov,Ar_Unida
Countries,Colombia gov,BCGovNews
Countries,South Africa gov,GautengProvince
Countries,Russia gov,RSGovUK
Countries,Afghanistan gov,AusMissionAF
Presidents,Joe Biden,JoeBiden
Presidents,Macron,MacronSports
Presidents,Barack Obama,BarackObama
Presidents,Vladimir Poutine,KremlinRussia_E
Presidents,Recep Tayyip Erdogan,RTErdogan
Presidents,Angela Merkel,Plaid_Merkel
Presidents,Theresa May,theresa_may
Presidents,Boris Johnson,BorisJohnson
Presidents,Xi Jinping,zaikandongxi
Presidents,Shinzo Abe,AbeShinzo
Presidents,Ram Nath Kovind,Plaid_Kovind
Presidents,Jair Bolsonaro,Plaid_Bolsonaro
Presidents,Joko Widodo,jokowi
Presidents,Mohammed ben Salmane,KingSalman
Presidents,Andrés Manuel López Obrador,Plaid_Obrador
Presidents,Rodrigo Duterte,RRD_Davao
Presidents,Pedro Sánchez,sanchezcastejon
Presidents,Frank-Walter Steinmeier,ChefSteinmeier
Presidents,Justin Trudeau,JustinTrudeau
Presidents,Muhammadu Buhari,MBuhari
Presidents,Uhuru Kenyatta,KanzeDena
Presidents,Arif Alvi,ArifAlvi
Presidents,Juan Guaido,jguaido
President, Volodymyr Zelensky, ZelenskyyUa
Presidents,Faure Gnassingbé,FEGnassingbe
Presidents,Alberto Fernández,alferdez
Presidents,Iván Duque Márquez,IvanDuque
Presidents,Cyril Ramaphosa,CyrilRamaphosa
Presidents,Nana Akufo-Addo,NAkufoAddo
Presidents,Samia Suluhu Hassan,TeamSuluhuSamia
Presidents,Ashraf Ghani,ashrafghani
Political figures,Franck Riester,franckriester
Political figures,Jean-Baptiste Lemoyne,JBLemoyne
Political figures,Clément Beaune,CBeaune
Political figures,Barbara Pompili,barbarapompili
